token_distance,passive_decay_pct,cafe_persistent_pct,cafe_working_pct,cafe_scratchpad_pct
0,100.0,100.0,100.0,100.0
1,68.8686,99.9999,99.95,0.0
2,52.0369,99.9998,99.9001,0.0
5,31.034,99.9996,99.7503,0.0
10,19.0718,99.9993,99.5012,0.0
20,9.8906,99.9985,99.0049,0.0
50,2.0591,99.9963,97.5308,0.0
100,0.1685,99.9925,95.1226,0.0
200,0.0011,99.9851,90.4832,0.0
500,0.0,99.9625,77.8789,0.0
1000,0.0,99.925,60.6513,0.0
2000,0.0,99.8501,5.5179,0.0
3000,0.0,99.7753,0.502,0.0
5000,0.0,99.6257,0.0277,0.0
7500,0.0,99.4391,0.0002,0.0
10000,0.0,99.2528,0.0,0.0
