step,cafe_frobenius_norm,cafe_normalized_energy,passive_frobenius_norm,passive_normalized_energy,persistent_norm,working_norm,scratchpad_norm,unbounded_energy
1,0.02694,0.00015,0.02,0.00011,0.02093,0.01447,0.00885,0.0011
200,0.02545,0.00014,0.03276,0.00018,0.01999,0.01377,0.00765,0.01595
400,0.02416,0.00013,0.03308,0.00018,0.01896,0.01297,0.00747,0.02215
600,0.03544,0.0002,0.032,0.00018,0.02782,0.0193,0.01047,0.02764
800,0.02004,0.00011,0.03305,0.00018,0.01534,0.01076,0.00711,0.03161
1000,0.02506,0.00014,0.03175,0.00018,0.01958,0.01325,0.00831,0.03573
1200,0.02152,0.00012,0.03189,0.00018,0.01708,0.01142,0.00638,0.039
1400,0.02097,0.00012,0.03288,0.00018,0.01593,0.01145,0.00742,0.04157
1600,0.03121,0.00017,0.03286,0.00018,0.02463,0.01655,0.00968,0.04396
1800,0.01891,0.0001,0.03354,0.00019,0.01473,0.00991,0.00651,0.04664
2000,0.02032,0.00011,0.0325,0.00018,0.01648,0.01043,0.00568,0.04995
2200,0.02108,0.00012,0.03245,0.00018,0.01659,0.01103,0.00689,0.05289
2400,0.02855,0.00016,0.03247,0.00018,0.02191,0.01547,0.0098,0.05456
2600,0.02619,0.00014,0.03303,0.00018,0.02081,0.01341,0.00853,0.05657
2800,0.02827,0.00016,0.03307,0.00018,0.02189,0.01537,0.00916,0.05958
3000,0.02682,0.00015,0.03187,0.00018,0.02089,0.01448,0.00856,0.06206
3200,0.02523,0.00014,0.03239,0.00018,0.02043,0.01246,0.008,0.06372
3400,0.01793,0.0001,0.03237,0.00018,0.01401,0.00988,0.00526,0.06523
3600,0.01723,0.0001,0.03282,0.00018,0.01324,0.00997,0.0047,0.06786
3800,0.02439,0.00013,0.03296,0.00018,0.01844,0.01397,0.00774,0.07034
4000,0.02716,0.00015,0.0324,0.00018,0.02045,0.01572,0.0085,0.07246
4200,0.02623,0.00014,0.032,0.00018,0.02014,0.01424,0.00893,0.07462
4400,0.01711,9e-05,0.03232,0.00018,0.01344,0.00927,0.00512,0.0754
4600,0.02687,0.00015,0.03249,0.00018,0.02177,0.01405,0.00712,0.07789
4800,0.02291,0.00013,0.03384,0.00019,0.01792,0.01245,0.00697,0.07942
5000,0.02251,0.00012,0.03179,0.00018,0.01729,0.01255,0.0071,0.08125
5200,0.02808,0.00016,0.03285,0.00018,0.02147,0.01509,0.01001,0.08303
5400,0.02218,0.00012,0.03204,0.00018,0.01757,0.01125,0.00754,0.08395
5600,0.02971,0.00016,0.03286,0.00018,0.02306,0.01609,0.0096,0.08511
5800,0.02621,0.00014,0.03335,0.00018,0.02023,0.01452,0.0082,0.08643
6000,0.02752,0.00015,0.03297,0.00018,0.02168,0.01501,0.00788,0.08712
6200,0.02557,0.00014,0.03253,0.00018,0.01991,0.01399,0.00787,0.0881
6400,0.02261,0.00012,0.03218,0.00018,0.01808,0.01158,0.00708,0.08884
6600,0.02079,0.00011,0.03203,0.00018,0.0166,0.01085,0.00623,0.09044
6800,0.02714,0.00015,0.03202,0.00018,0.02153,0.01443,0.00806,0.09142
7000,0.02587,0.00014,0.03339,0.00018,0.02004,0.01447,0.00765,0.09257
7200,0.03168,0.00017,0.03271,0.00018,0.0254,0.01613,0.00989,0.09262
7400,0.02007,0.00011,0.03203,0.00018,0.01591,0.01082,0.00571,0.09412
7600,0.02317,0.00013,0.0333,0.00018,0.01849,0.01172,0.00761,0.0954
7800,0.02384,0.00013,0.03172,0.00018,0.01894,0.01269,0.00697,0.09662
8000,0.02288,0.00013,0.03337,0.00018,0.01825,0.01163,0.00742,0.09795
8200,0.0286,0.00016,0.03271,0.00018,0.02219,0.01556,0.00912,0.09964
8400,0.0205,0.00011,0.03235,0.00018,0.01565,0.0115,0.00656,0.10173
8600,0.0344,0.00019,0.03208,0.00018,0.02655,0.01846,0.01173,0.10287
8800,0.03001,0.00017,0.03261,0.00018,0.02372,0.01614,0.00883,0.10526
9000,0.0179,0.0001,0.03279,0.00018,0.01413,0.00986,0.00487,0.10531
