token_index,token,category,kl_divergence,surprise_gamma,thought_triggered
0,State,content_words,0.1049,0.747,True
1,space,content_words,0.082,0.735,True
2,models,content_words,0.1237,0.7569,True
3,provide,content_words,0.0987,0.7437,True
4,an,stopwords,0.0667,0.727,True
5,efficient,content_words,0.0933,0.7409,True
6,linear,content_words,0.1203,0.7551,True
7,-,punctuation,0.0719,0.7297,True
8,time,content_words,0.1061,0.7476,True
9,rec,content_words,0.0917,0.7401,True
10,urrence,content_words,0.0924,0.7404,True
11,for,stopwords,0.0861,0.7371,True
12,deep,content_words,0.0684,0.7279,True
13,sequence,content_words,0.0744,0.731,True
14,modeling,content_words,0.0668,0.7271,True
15,.,punctuation,0.1177,0.7537,True
16,Unlike,content_words,0.0816,0.7348,True
17,standard,technical_terms,0.0943,0.7414,True
18,Trans,content_words,0.0685,0.728,True
19,former,content_words,0.103,0.746,True
20,attention,content_words,0.1141,0.7518,True
21,which,stopwords,0.0743,0.731,True
22,requires,content_words,0.0891,0.7387,True
23,quad,content_words,0.109,0.7492,True
24,r,content_words,0.0921,0.7403,True
25,atic,content_words,0.1045,0.7467,True
26,K,content_words,0.1188,0.7543,True
27,V,content_words,0.0895,0.7389,True
28,-,punctuation,0.0728,0.7302,True
29,cache,content_words,0.1002,0.7445,True
30,memory,content_words,0.088,0.7381,True
31,",",punctuation,0.0798,0.7338,True
32,recurrent,content_words,0.0889,0.7386,True
33,state,content_words,0.1043,0.7467,True
34,updates,technical_terms,0.0775,0.7326,True
35,maintain,content_words,0.0962,0.7424,True
36,constant,content_words,0.0934,0.7409,True
37,-,punctuation,0.0559,0.7215,True
38,time,content_words,0.1106,0.75,True
39,inference,content_words,0.0873,0.7377,True
40,through,content_words,0.0661,0.7268,True
41,disc,content_words,0.1042,0.7466,True
42,ret,content_words,0.0894,0.7389,True
43,ized,content_words,0.1096,0.7495,True
44,Hur,content_words,0.0948,0.7417,True
45,witz,content_words,0.1179,0.7538,True
46,transition,content_words,0.0788,0.7333,True
47,operators,content_words,0.1184,0.7541,True
48,.,punctuation,0.102,0.7455,True
49,The,stopwords,0.1081,0.7487,True
50,NVIDIA,technical_terms,0.1052,0.7472,True
51,H,content_words,0.0856,0.7369,True
52,100,content_words,0.0995,0.7441,True
53,GPU,technical_terms,0.0893,0.7388,True
54,lever,content_words,0.0871,0.7376,True
55,ages,content_words,0.1061,0.7476,True
56,high,content_words,0.1031,0.746,True
57,-,punctuation,0.0604,0.7238,True
58,band,content_words,0.1176,0.7537,True
59,width,content_words,0.0616,0.7244,True
60,memory,content_words,0.0717,0.7296,True
61,and,stopwords,0.0806,0.7343,True
62,tens,content_words,0.1044,0.7467,True
63,or,content_words,0.0734,0.7305,True
64,cores,content_words,0.1143,0.7519,True
65,to,stopwords,0.1188,0.7543,True
66,accelerate,content_words,0.1004,0.7446,True
67,associ,content_words,0.0913,0.7398,True
68,ative,content_words,0.0826,0.7353,True
69,parallel,content_words,0.0853,0.7367,True
70,scans,content_words,0.1064,0.7477,True
71,.,punctuation,0.09,0.7391,True
72,,content_words,0.1096,0.7495,True
73,,content_words,0.1133,0.7514,True
74,[,content_words,0.0751,0.7314,True
75,TOP,content_words,0.1021,0.7455,True
76,IC,content_words,0.0812,0.7346,True
